측정소명,초미세먼지,오존
동대문구,15,0.034
중랑구,22,0.026
강서구,20,0.037
영등포구,18,0.041
관악구,14,0.036
동작구,29,0.026
금천구,31,0.02
양천구,20,0.036
구로구,21,0.05
강남구,23,0.04
서초구,22,0.043
강동구,20,0.036
송파구,19,0.028
중구,25,0.037
용산구,21,0.033
종로구,21,0.035
마포구,23,0.027
은평구,25,0.04
서대문구,22,0.04
도봉구,16,0.046
동대문구,17,0.039
성동구,19,0.041
광진구,24,0.034
강북구,22,0.039
성북구,22,0.034
노원구,22,0.033
중랑구,23,0.033
양천구,22,0.035
강서구,20,0.037
동작구,27,0.03
관악구,17,0.035
구로구,21,0.049
영등포구,19,0.043
금천구,27,0.029
송파구,19,0.036
강동구,21,0.037
서초구,26,0.049
강남구,24,0.041
종로구,21,0.033
용산구,16,0.044
중구,22,0.037
은평구,23,0.044
마포구,18,0.037
서대문구,25,0.043
강북구,19,0.043
성북구,22,0.043
성동구,19,0.046
광진구,26,0.036
노원구,21,0.037
동대문구,15,0.039
중랑구,20,0.036
도봉구,16,0.049
금천구,25,0.031
동작구,25,0.031
영등포구,18,0.043
관악구,16,0.036
강서구,19,0.041
양천구,21,0.036
구로구,22,0.052
서초구,26,0.05
송파구,19,0.035
강남구,23,0.042
강동구,21,0.039
종로구,21,0.036
중구,26,0.04
용산구,20,0.047
은평구,22,0.049
마포구,21,0.037
서대문구,21,0.048
성북구,26,0.042
중랑구,25,0.038
광진구,24,0.037
동대문구,17,0.043
성동구,24,0.047
노원구,25,0.037
강북구,26,0.043
도봉구,19,0.049
구로구,25,0.051
영등포구,22,0.042
양천구,24,0.035
금천구,24,0.034
동작구,29,0.032
강서구,20,0.043
관악구,21,0.038
강동구,28,0.038
송파구,20,0.037
서초구,24,0.05
강남구,28,0.043
중구,23,0.038
용산구,16,0.044
종로구,22,0.036
마포구,20,0.035
서대문구,24,0.049
은평구,23,0.05
광진구,24,0.035
성동구,20,0.045
노원구,17,0.036
중랑구,20,0.036
도봉구,10,0.045
강북구,24,0.04
성북구,15,0.041
동대문구,17,0.041
양천구,21,0.036
동작구,26,0.035
구로구,25,0.052
영등포구,18,0.042
금천구,21,0.037
강서구,19,0.043
관악구,19,0.04
서초구,22,0.049
송파구,15,0.039
강남구,25,0.043
강동구,20,0.037
중구,21,0.038
용산구,15,0.045
종로구,23,0.035
서대문구,23,0.046
마포구,22,0.036
은평구,12,0.046
중랑구,13,0.04
도봉구,10,0.046
강북구,18,0.04
성동구,12,0.049
동대문구,14,0.042
성북구,10,0.042
노원구,15,0.037
광진구,16,0.038
강서구,19,0.043
구로구,23,0.053
관악구,20,0.041
영등포구,18,0.042
금천구,21,0.038
동작구,22,0.035
양천구,23,0.037
