측정일시,측정소명,초미세먼지(㎍/㎥),오존(ppm)
202003301800 ,마포구,21,0.033
202003301800 ,서대문구,28,0.04
202003301800 ,도봉구,34,0.038
202003301800 ,광진구,41,0.035
202003301800 ,노원구,33,0.029
202003301800 ,성동구,35,0.038
202003301800 ,중랑구,31,0.031
202003301800 ,성북구,26,0.033
202003301800 ,동대문구,28,0.036
202003301800 ,강북구,36,0.037
202003301800 ,영등포구,26,0.037
202003301800 ,관악구,21,0.037
202003301800 ,구로구,25,0.045
202003301800 ,금천구,26,0.036
202003301800 ,동작구,33,0.034
202003301800 ,양천구,27,0.033
202003301800 ,강서구,19,0.037
202003301800 ,강남구,39,0.04
202003301800 ,서초구,36,0.045
202003301800 ,강동구,30,0.037
202003301800 ,송파구,26,0.037
202003301700 ,용산구,34,0.043
202003301700 ,중구,39,0.039
202003301700 ,종로구,36,0.034
202003301700 ,서대문구,37,0.043
202003301700 ,은평구,35,0.042
202003301700 ,마포구,32,0.039
202003301700 ,강북구,34,0.036
202003301700 ,동대문구,29,0.038
202003301700 ,중랑구,25,0.037
202003301700 ,성북구,30,0.035
202003301700 ,광진구,31,0.038
202003301700 ,도봉구,35,0.04
202003301700 ,성동구,32,0.041
202003301700 ,노원구,24,0.033
202003301700 ,강서구,26,0.043
202003301700 ,동작구,43,0.038
202003301700 ,구로구,27,0.051
202003301700 ,양천구,35,0.036
202003301700 ,관악구,29,0.041
202003301700 ,영등포구,35,0.041
202003301700 ,금천구,26,0.038
202003301700 ,서초구,44,0.051
202003301700 ,강동구,22,0.038
202003301700 ,강남구,39,0.046
202003301700 ,송파구,38,0.041
202003301600 ,중구,34,0.038
202003301600 ,종로구,24,0.037
202003301600 ,용산구,29,0.042
202003301600 ,마포구,34,0.039
202003301600 ,서대문구,41,0.043
202003301600 ,은평구,32,0.042
202003301600 ,강북구,26,0.042
202003301600 ,중랑구,24,0.036
202003301600 ,성북구,19,0.038
202003301600 ,도봉구,23,0.044
202003301600 ,동대문구,22,0.04
202003301600 ,광진구,27,0.037
202003301600 ,성동구,29,0.04
202003301600 ,노원구,22,0.034
202003301600 ,구로구,35,0.058
202003301600 ,관악구,30,0.045
202003301600 ,영등포구,35,0.047
202003301600 ,강서구,30,0.045
202003301600 ,양천구,38,0.041
202003301600 ,동작구,38,0.041
202003301600 ,금천구,27,0.041
202003301600 ,송파구,27,0.039
202003301600 ,강동구,22,0.038
202003301600 ,서초구,39,0.048
202003301600 ,강남구,0,0
202003301500 ,용산구,26,0.042
202003301500 ,중구,36,0.038
202003301500 ,종로구,29,0.036
202003301500 ,서대문구,27,0.047
202003301500 ,은평구,30,0.045
